"Navigate","Open Declaration","F3","In Windows"
"C/C++ Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"Search","Open Search Dialog","⌃H","In Windows"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Uncategorized","Insert right guillemet","⌘>","Editing Xtend Source"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Text Editing","Scroll Line Up","⌃↑","Embedded Xtext Editor context"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","Editing Xtend Source"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Edit","Select Enclosing Element","⇧⌃↑","Editing XML Source"
"Text Editing","To Upper Case","⇧⌘X","Embedded Xtext Editor context"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Window","Activate Editor","⌘F12","In Windows"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Embedded Xtext Editor context"
"Text Editing","Text Start","↖","Editing Text"
"Project","Make Target Build","⇧F9","In Windows"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"File","Properties","⌘I","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"File","New menu","⌥⌘N","In Windows"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Text Editing","Select Next Word","⇧⌥→","Embedded Xtext Editor context"
"Text Editing","Next Word","⌥→","Editing Text"
"Window","Previous View","⇧⌘F7","In Windows"
